id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,fccs,fccs_number
RX191,RXFires,26.874,-81.766,RX,1.0,201608010000Z,10.0,FL,USA,12015,2810015000,0.08,0.35,0.4,1.0,0.0,0.0,4.86,0.16,0.0,0.4,0.04,10.0,12.0,12.0,22.0,130.0,150.0,6.95899243316,0.462087377634,0.0083928461189,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,443764.49464799993,0.05848500000000002,0.06901000000000003,0.5985059999999996,12.135605000000002,0.031229999999999997,0.017264,0.009998999999999996,0.007280999999999999,0.14374400000000007,Longleaf pine - Slash pine / Gallberry forest,1.99,191,191
RX196,RXFires,34.723,-98.536,RX,1.0,201608010000Z,10.0,OK,USA,40031,2810015000,0.3,0.56,0.15,0.5,0.0,0.0,1.77,0.0,1.5,0.2,0.1,10.0,12.0,12.0,22.0,130.0,150.0,1.89990861849,0.428252091138,0.431734002568,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,125450.89278600001,0.028109000000000002,0.033162000000000004,0.31674600000000014,4.329885,0.015725,0.005378000000000002,0.005222000000000001,0.0027010000000000003,0.07502699999999998,Loblolly pine / Bluestem forest,0.32,196,196
RX2,RXFires,47.0,-122.588,RX,1.0,201608010000Z,10.0,WA,USA,53053,2810015000,1.0,2.0,4.0,2.0,3.0,6.0,3.29,0.13,8.0,3.0,0.03,10.0,12.0,12.0,22.0,130.0,150.0,12.5659797236,9.40524533809,16.4139117441,16.8145013983,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,950902.231402,0.5198020000000001,0.6133729999999998,6.313481999999999,56.60626900000001,0.30213799999999996,0.053794999999999996,0.10298599999999998,0.03754899999999998,1.4805149999999996,Western hemlock - Western redcedar - Douglas-fir forest,20.96,2,2
RX203,RXFires,25.478,-80.93,RX,1.0,201608010000Z,10.0,FL,USA,12087,2810015000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.5,0.9,10.0,12.0,12.0,22.0,130.0,150.0,2.92647767621,0.170597509274,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,186332.22412400003,0.024141000000000003,0.028485000000000003,0.24597,5.0654639999999995,0.012861,0.0072380000000000005,0.00411,0.0030380000000000008,0.059116,Sawgrass - Muhlenbergia grassland,0.0,203,203
RX208,RXFires,48.044,-116.151,RX,1.0,201608010000Z,10.0,ID,USA,16017,2810015000,0.5,1.6,3.3,4.3,8.9,3.4,0.78,0.05,3.0,2.0,0.01,10.0,12.0,12.0,22.0,130.0,150.0,10.5184157713,4.66497846374,3.21838787849,0.00162055448621,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,729692.655149,0.207476,0.24482200000000004,2.408947,28.316339000000006,0.11784,0.032598,0.039526999999999986,0.018015999999999994,0.5682710000000002,Grand fir - Douglas-fir forest,11.21,208,208
RX21,RXFires,40.926,-106.375,RX,1.0,201608010000Z,10.0,CO,USA,08057,2810015000,0.2,1.0,2.5,8.0,0.5,0.0,0.0,0.01,0.9,1.0,0.01,10.0,12.0,12.0,22.0,130.0,150.0,7.06628562888,2.72257115848,1.2742614782,8.67070793449e-05,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,483203.698024,0.11783699999999998,0.13904599999999992,1.3460950000000003,17.218007000000004,0.06637899999999997,0.020718999999999994,0.022138,0.01083,0.31824099999999994,Lodgepole pine early seral forest,0.63,21,21
RX210,RXFires,39.976,-119.675,RX,1.0,201608010000Z,10.0,NV,USA,32031,2810015000,0.2,0.4,1.0,0.3,0.0,0.0,0.54,0.09,0.4,0.2,0.01,10.0,12.0,12.0,22.0,130.0,150.0,2.18871337934,0.353210645477,0.251140132523,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,142401.67174100003,0.025964000000000008,0.030645000000000002,0.28392799999999996,4.451221999999998,0.014316000000000002,0.005849000000000002,0.004696000000000003,0.002731000000000001,0.067534,Pinyon - Juniper forest,1.28,210,210
RX211,RXFires,42.332,-105.352,RX,1.0,201608010000Z,10.0,WY,USA,56001,2810015000,0.1,0.5,0.9,0.4,1.2,0.0,0.1,0.09,0.7,0.5,0.02,10.0,12.0,12.0,22.0,130.0,150.0,2.08453297115,0.677212413941,0.513919096276,0.000129821196815,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,140765.616998,0.03495200000000001,0.041245000000000025,0.399516,5.095318999999999,0.019695999999999998,0.006129,0.006563,0.0032099999999999997,0.094448,Interior ponderosa pine forest,7.24,211,211
RX216,RXFires,40.027,-111.3,RX,1.0,201608010000Z,10.0,UT,USA,49049,2810015000,1.0,1.1,1.9,1.9,0.0,0.0,0.32,0.1,0.0,1.5,0.05,10.0,12.0,12.0,22.0,130.0,150.0,5.64959414025,0.935298305225,0.23926356731,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,367806.738023,0.060649,0.07156299999999997,0.6522369999999998,10.955058,0.033165,0.014730999999999998,0.010814999999999995,0.0066840000000000024,0.15551700000000004,Gambel oak - bigtooth maple forest,18.44,216,216
RX217,RXFires,37.628124,-105.126031,RX,1.0,201608010000Z,10.0,CO,USA,08055,2810015000,0.1,0.2,1.4,1.6,0.0,0.0,0.27,0.09,0.0,0.7,0.02,10.0,12.0,12.0,22.0,130.0,150.0,2.82982198189,0.614591214771,0.193641102631,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,186317.99890200002,0.034030000000000005,0.040154999999999996,0.3728469999999999,5.793206999999999,0.018775999999999994,0.007580000000000002,0.006165000000000001,0.0035619999999999996,0.088665,Gambel oak - bigtooth maple forest with prescribed fire,12.2,217,217
